Date,New cases,New deaths,New recovered
2020-01-22,0,0,0
2020-01-23,99,1,2
2020-01-24,287,8,6
2020-01-25,493,16,3
2020-01-26,684,14,13
2020-01-27,809,26,9
2020-01-28,2651,49,46
2020-01-29,588,2,18
2020-01-30,2068,38,16
2020-01-31,1693,42,78
2020-02-01,2111,46,62
2020-02-02,4749,103,178
2020-02-03,3100,64,145
2020-02-04,4011,66,217
2020-02-05,3745,72,250
2020-02-06,3159,70,347
2020-02-07,3532,85,485
2020-02-08,2734,87,567
2020-02-09,3027,100,587
2020-02-10,2538,107,657
2020-02-11,2042,100,703
2020-02-12,1886,5,432
2020-02-13,13645,253,1081
2020-02-14,6484,152,1683
2020-02-15,2075,143,1289
2020-02-16,2114,104,1417
2020-02-17,1936,98,1632
2020-02-18,1794,140,1742
2020-02-19,421,115,1701
2020-02-20,547,123,1975
2020-02-21,629,4,597
2020-02-22,1761,207,3883
2020-02-23,323,10,455
2020-02-24,564,160,1743
2020-02-25,853,80,2605
2020-02-26,963,60,2425
2020-02-27,1364,43,2842
2020-02-28,1377,57,3387
2020-02-29,1895,69,3008
2020-03-01,2384,54,2894
2020-03-02,1974,89,2877
2020-03-03,2577,75,2596
2020-03-04,2299,95,2938
2020-03-05,2791,93,2618
2020-03-06,3943,112,2033
2020-03-07,4038,99,2490
2020-03-08,3954,244,2332
2020-03-09,3900,184,1799
2020-03-10,5024,279,1911
2020-03-11,7663,344,2311
2020-03-12,5750,305,1321
2020-03-13,14405,497,1925
2020-03-14,11106,417,2370
2020-03-15,11146,641,3410
2020-03-16,14659,680,2053
2020-03-17,15838,804,2752
2020-03-18,19586,897,2483
2020-03-19,27918,1106,1637
2020-03-20,29608,1478,2445
2020-03-21,32306,1705,4266
2020-03-22,33410,1697,6215
2020-03-23,42165,1917,466
2020-03-24,41154,2268,9541
2020-03-25,50817,2777,5448
2020-03-26,62960,3007,8359
2020-03-27,64400,3518,8704
2020-03-28,67657,3679,8292
2020-03-29,59577,3473,9461
2020-03-30,64639,4164,15446
2020-03-31,76416,4844,12367
2020-04-01,76214,5551,15360
2020-04-02,81399,6305,16618
2020-04-03,83155,5985,15008
2020-04-04,80463,5841,20012
2020-04-05,71718,5021,13405
2020-04-06,72672,5832,16335
2020-04-07,76873,7902,22853
2020-04-08,83775,6735,28352
2020-04-09,86625,7629,24332
2020-04-10,87658,7272,21128
2020-04-11,76965,6069,25514
2020-04-12,96802,5731,18873
2020-04-13,69594,5747,26531
2020-04-14,69927,6898,24619
2020-04-15,80829,8312,35911
2020-04-16,96712,7283,30090
2020-04-17,87724,8890,25272
2020-04-18,73958,6471,23502
2020-04-19,80523,4570,30768
2020-04-20,73339,5443,21305
2020-04-21,75250,7157,34181
2020-04-22,78994,6755,29164
2020-04-23,89013,6850,28482
2020-04-24,96974,6674,49640
2020-04-25,84932,5578,26910
2020-04-26,72948,3883,27730
