Country/Region,Population,TotalCases,Infection Rate (%)
Qatar,2807805,112092,3.99
French Guiana,299385,8127,2.71
Bahrain,1706669,42889,2.51
San Marino,33938,699,2.06
Chile,19132514,366671,1.92
Panama,4321282,71418,1.65
Kuwait,4276658,70045,1.64
Oman,5118446,80713,1.58
USA,331198130,5032179,1.52
Vatican City,801,12,1.5
Peru,33016319,455409,1.38
Brazil,212710692,2917562,1.37
Armenia,2963811,39819,1.34
Andorra,77278,944,1.22
Luxembourg,626952,7073,1.13
Mayotte,273419,3042,1.11
Singapore,5854932,54555,0.93
South Africa,59381566,538184,0.91
Israel,9197590,79559,0.86
Maldives,541448,4680,0.86
Saudi Arabia,34865919,284226,0.82
Sweden,10105596,81967,0.81
Spain,46756648,354530,0.76
Bolivia,11688459,86423,0.74
Belarus,9449001,68503,0.72
Colombia,50936262,357710,0.7
Dominican Republic,10858648,76536,0.7
Moldova,4032983,26628,0.66
United Arab Emirates,9902079,61845,0.62
Belgium,11594739,71158,0.61
Russia,145940924,871894,0.6
Kyrgyzstan,6534479,38659,0.59
Iceland,341465,1930,0.57
Gibraltar,33690,190,0.56
North Macedonia,2083365,11399,0.55
Montenegro,628074,3480,0.55
Djibouti,989387,5330,0.54
Faeroe Islands,48882,266,0.54
Ireland,4943200,26372,0.53
Kazakhstan,18798667,95942,0.51
Ecuador,17668824,90537,0.51
Portugal,10193593,52061,0.51
Argentina,45236884,228195,0.5
Cabo Verde,556581,2734,0.49
United Kingdom,67922029,308134,0.45
Honduras,9919704,45098,0.45
Switzerland,8660952,36108,0.42
Italy,60452568,249204,0.41
Costa Rica,5098730,21070,0.41
Bosnia and Herzegovina,3278650,13396,0.41
Sao Tome and Principe,219544,878,0.4
Isle of Man,85078,336,0.39
Iran,84097623,320117,0.38
Sint Maarten,42924,160,0.37
Falkland Islands,3489,13,0.37
Mexico,129066160,462690,0.36
Suriname,587154,2096,0.36
Iraq,40306025,140603,0.35
Gabon,2230563,7787,0.35
Equatorial Guinea,1407001,4821,0.34
Channel Islands,174022,597,0.34
Netherlands,17138756,56982,0.33
Azerbaijan,10148243,33247,0.33
Turks and Caicos,38768,129,0.33
Monaco,39270,125,0.32
Canada,37775022,118561,0.31
Serbia,8733665,27332,0.31
Cayman Islands,65798,203,0.31
France,65288306,195633,0.3
Romania,19224023,57895,0.3
Guatemala,17946899,54339,0.3
El Salvador,6489514,19126,0.29
Turkey,84428331,237265,0.28
Germany,83811260,215210,0.26
Palestine,5112340,13398,0.26
Eswatini,1161348,2968,0.26
Montserrat,4992,13,0.26
Denmark,5794279,14306,0.25
Aruba,106812,263,0.25
Bermuda,62254,157,0.25
Austria,9011577,21696,0.24
Liechtenstein,38139,89,0.23
Albania,2877470,6016,0.21
Malta,441663,946,0.21
Bulgaria,6942854,13014,0.19
Bahamas,393616,761,0.19
Ukraine,43705858,76808,0.18
Czechia,10711019,17731,0.17
Norway,5425471,9468,0.17
