Country/Region,Confirmed,Death Rate (%),Recovery Rate (%)
Yemen,1691,28.56,49.26
United Kingdom,301708,15.19,0.48
Belgium,66428,14.79,26.27
Italy,246286,14.26,80.64
France,220352,13.71,36.86
Hungary,4448,13.4,74.84
Netherlands,53413,11.53,0.35
Mexico,395489,11.13,76.82
Spain,272421,10.44,55.2
Western Sahara,10,10.0,80.0
Chad,922,8.13,87.85
Canada,116458,7.68,0.0
Sweden,79395,7.18,0.0
Ecuador,81161,6.82,43.0
Ireland,25892,6.81,90.24
Barbados,110,6.36,85.45
Sudan,11424,6.3,51.99
Liberia,1167,6.17,55.36
Niger,1132,6.1,90.72
San Marino,699,6.01,93.99
Syria,674,5.93,0.0
Switzerland,34477,5.74,89.62
Andorra,907,5.73,88.53
Slovenia,2087,5.56,83.04
Iran,293606,5.42,86.9
Trinidad and Tobago,148,5.41,86.49
China,86783,5.37,90.88
Guyana,389,5.14,46.53
Egypt,92482,5.03,37.67
Mali,2513,4.93,76.12
Burkina Faso,1100,4.82,84.18
Indonesia,100303,4.82,58.0
Romania,45902,4.81,56.19
Greece,4227,4.78,32.51
Peru,389717,4.73,69.93
North Macedonia,10213,4.56,54.48
Denmark,13761,4.45,91.6
Finland,7398,4.45,93.54
Germany,207112,4.41,91.89
Angola,950,4.32,25.47
Belize,48,4.17,54.17
Algeria,27973,4.16,67.34
Tanzania,509,4.13,35.95
Iraq,112585,3.96,68.52
Lithuania,2019,3.96,80.24
Kyrgyzstan,33296,3.91,63.69
Guatemala,45309,3.89,71.63
Poland,43402,3.86,75.7
Bolivia,71181,3.72,30.17
Sierra Leone,1783,3.7,73.86
Brazil,2442375,3.59,75.61
Afghanistan,36263,3.5,69.49
Antigua and Barbuda,86,3.49,75.58
Austria,20558,3.47,88.75
Monaco,116,3.45,89.66
USA,4290259,3.45,30.9
Cuba,2532,3.44,92.85
Tunisia,1455,3.44,79.52
Portugal,50299,3.42,70.33
Colombia,257101,3.41,51.02
Estonia,2034,3.39,94.54
Bulgaria,10621,3.27,52.58
Moldova,23154,3.23,69.77
Japan,31142,3.2,70.55
Nicaragua,3439,3.14,72.46
Zambia,4552,3.08,61.84
Albania,4880,2.95,56.25
Honduras,39741,2.93,12.68
Mauritius,344,2.91,96.51
Somalia,3196,2.91,48.28
