Country/Region,CWL_Confirmed,World_Confirmed,Confirmed_Diff
USA,4290259,5032179,-741920
Brazil,2442375,2917562,-475187
India,1480073,2025409,-545336
Russia,816680,871894,-55214
South Africa,452529,538184,-85655
Mexico,395489,462690,-67201
Peru,389717,455409,-65692
Chile,347923,366671,-18748
Colombia,257101,357710,-100609
Spain,272421,354530,-82109
Iran,293606,320117,-26511
United Kingdom,301708,308134,-6426
Saudi Arabia,268934,284226,-15292
Pakistan,274289,281863,-7574
Bangladesh,226225,249651,-23426
Italy,246286,249204,-2918
Turkey,227019,237265,-10246
Argentina,167416,228195,-60779
Germany,207112,215210,-8098
France,220352,195633,24719
Iraq,112585,140603,-28018
Philippines,82040,119460,-37420
Indonesia,100303,118753,-18450
Canada,116458,118561,-2103
Qatar,109597,112092,-2495
Kazakhstan,84648,95942,-11294
Egypt,92482,95006,-2524
Ecuador,81161,90537,-9376
Bolivia,71181,86423,-15242
Sweden,79395,81967,-2572
Oman,77058,80713,-3655
Israel,63985,79559,-15574
Ukraine,67096,76808,-9712
Dominican Republic,64156,76536,-12380
Panama,61442,71418,-9976
Belgium,66428,71158,-4730
Kuwait,64379,70045,-5666
Belarus,67251,68503,-1252
United Arab Emirates,59177,61845,-2668
Romania,45902,57895,-11993
Netherlands,53413,56982,-3569
Singapore,50838,54555,-3717
Guatemala,45309,54339,-9030
Portugal,50299,52061,-1762
Poland,43402,49515,-6113
Nigeria,41180,45244,-4064
Honduras,39741,45098,-5357
Bahrain,39482,42889,-3407
Japan,31142,42263,-11121
Armenia,37390,39819,-2429
Ghana,33624,39642,-6018
Kyrgyzstan,33296,38659,-5363
Afghanistan,36263,36896,-633
Switzerland,34477,36108,-1631
Algeria,27973,33626,-5653
Azerbaijan,30446,33247,-2801
Morocco,20887,29644,-8757
Uzbekistan,21209,28315,-7106
Serbia,24141,27332,-3191
Moldova,23154,26628,-3474
Ireland,25892,26372,-480
Kenya,17975,24411,-6436
Venezuela,15988,22299,-6311
Nepal,18752,21750,-2998
Austria,20558,21696,-1138
Costa Rica,15841,21070,-5229
Ethiopia,14547,20900,-6353
Australia,15303,19890,-4587
El Salvador,15035,19126,-4091
Czechia,15516,17731,-2215
Cameroon,17110,17718,-608
South Korea,14203,14519,-316
Denmark,13761,14306,-545
Bosnia and Herzegovina,10498,13396,-2898
Bulgaria,10621,13014,-2393
Madagascar,9690,12526,-2836
Sudan,11424,11780,-356
North Macedonia,10213,11399,-1186
Senegal,9764,10715,-951
Norway,9132,9468,-336
Malaysia,8904,9038,-134
Gabon,7189,7787,-598
Tajikistan,7235,7665,-430
Guinea,7055,7664,-609
Haiti,7340,7544,-204
Finland,7398,7532,-134
Zambia,4552,7164,-2612
Luxembourg,6321,7073,-752
Mauritania,6208,6444,-236
Paraguay,4548,6375,-1827
Albania,4880,6016,-1136
Lebanon,3882,5672,-1790
Croatia,4881,5404,-523
Djibouti,5059,5330,-271
Greece,4227,5123,-896
Libya,2827,4879,-2052
Equatorial Guinea,3071,4821,-1750
Maldives,3369,4680,-1311
Hungary,4448,4597,-149
Malawi,3664,4491,-827
Zimbabwe,2704,4339,-1635
Nicaragua,3439,3902,-463
Montenegro,2893,3480,-587
Thailand,3297,3330,-33
Somalia,3196,3227,-31
Eswatini,2316,2968,-652
Sri Lanka,2805,2839,-34
Cuba,2532,2775,-243
Cabo Verde,2328,2734,-406
Namibia,1843,2652,-809
Mali,2513,2552,-39
Slovakia,2181,2480,-299
South Sudan,2305,2450,-145
Slovenia,2087,2223,-136
Lithuania,2019,2171,-152
Estonia,2034,2124,-90
Mozambique,1701,2120,-419
Rwanda,1879,2111,-232
Suriname,1483,2096,-613
Guinea-Bissau,1954,2032,-78
Benin,1770,1936,-166
Iceland,1854,1930,-76
Sierra Leone,1783,1877,-94
Yemen,1691,1768,-77
Tunisia,1455,1642,-187
New Zealand,1557,1569,-12
Angola,950,1483,-533
Uruguay,1202,1318,-116
Latvia,1219,1275,-56
Jordan,1176,1232,-56
Liberia,1167,1224,-57
Uganda,1128,1223,-95
Cyprus,1060,1208,-148
Georgia,1137,1206,-69
Burkina Faso,1100,1158,-58
Niger,1132,1153,-21
Togo,874,1012,-138
Syria,674,999,-325
Jamaica,853,958,-105
Malta,701,946,-245
Andorra,907,944,-37
Chad,922,942,-20
Gambia,326,935,-609
Sao Tome and Principe,865,878,-13
Botswana,739,804,-65
Bahamas,382,761,-379
Vietnam,431,747,-316
Lesotho,505,742,-237
San Marino,699,699,0
Guyana,389,538,-149
Tanzania,509,509,0
Taiwan,462,477,-15
Comoros,354,396,-42
Burundi,378,395,-17
Mauritius,344,344,0
Mongolia,289,293,-4
Eritrea,265,282,-17
Cambodia,226,243,-17
Trinidad and Tobago,148,210,-62
Papua New Guinea,62,163,-101
Brunei,141,141,0
Barbados,110,133,-23
Seychelles,114,126,-12
Monaco,116,125,-9
Bhutan,99,105,-6
Antigua and Barbuda,86,92,-6
Liechtenstein,86,89,-3
Belize,48,86,-38
Fiji,27,27,0
Saint Lucia,24,25,-1
Timor-Leste,24,25,-1
Grenada,23,24,-1
Laos,20,20,0
Dominica,18,18,0
Saint Kitts and Nevis,17,17,0
Greenland,14,14,0
Western Sahara,10,10,0
