Province_State,Reported_Counties
Texas,47940
Georgia,30080
Virginia,25192
Kentucky,22748
Missouri,21996
Kansas,19928
Illinois,19364
North Carolina,18988
Iowa,18800
Tennessee,18048
Nebraska,17672
Indiana,17484
Ohio,16732
Minnesota,16544
Michigan,16168
Mississippi,15604
Puerto Rico,14852
Oklahoma,14664
Arkansas,14288
Wisconsin,13724
Pennsylvania,12784
Alabama,12784
Florida,12784
South Dakota,12596
Louisiana,12220
Colorado,12220
New York,11844
California,11092
Montana,10716
West Virginia,10528
North Dakota,10152
South Carolina,8836
Idaho,8460
Washington,7520
Oregon,6956
Utah,6768
New Mexico,6392
Alaska,5640
Maryland,4700
Wyoming,4512
New Jersey,4136
Nevada,3384
Maine,3196
Arizona,3008
Massachusetts,3008
Vermont,2820
New Hampshire,2068
Connecticut,1692
Hawaii,1128
Rhode Island,1128
Delaware,752
District of Columbia,376
